Tipo_vivienda;Superficie construida;Habitaciones;Baños;Planta;Conservación;Precio;PMZona;PMm²Zona;RMP;RMH
Piso;62.0;2;1;8.0;En buen estado;229000.0;682685.09;4200.49;20500.0;54316.0
Piso;114.0;3;2;5.0;En buen estado;420000.0;562942.11;3460.16;20477.0;59299.0
Ático;198.0;4;3;1.0;A estrenar;615500.0;507866.67;2564.12;15757.0;46101.0
Piso;87.0;3;1;2.0;En buen estado;190000.0;507866.67;2564.12;15757.0;46101.0
Ático;81.0;2;1;3.0;A estrenar;270500.0;820931.96;2942.56;16370.999999999998;45647.0
Piso;245.0;4;4;3.0;En buen estado;1290000.0;1235417.65;4893.34;20671.0;55125.0
Piso;230.0;5;4;1.0;En buen estado;960000.0;1028586.4;4151.27;27167.0;86403.0
Piso;79.0;2;1;1.0;En buen estado;114000.0;186396.42;1864.74;10251.0;30961.0
Ático;63.0;2;1;1.0;A estrenar;609000.0;468570.0;5082.27;20103.0;46699.0
Piso;126.0;3;2;6.0;Reformado;950000.0;1471095.24;6128.53;28233.0;69670.0
Piso;72.0;1;1;1.0;En buen estado;99500.0;306328.57;2115.77;13080.0;36502.0
Dúplex;139.0;4;3;1.0;A estrenar;415900.0;246055.29;2777.76;12275.0;32050.0
Casa unifamiliar;208.0;5;3;0.0;En buen estado;315000.0;354250.0;1547.82;13154.0;32152.0
Piso;102.0;3;2;1.0;A estrenar;393750.0;433906.82;2550.17;17250.0;54057.0
Piso;155.0;4;2;6.0;En buen estado;495000.0;366900.0;3215.7;13605.0;35278.0
Piso;90.0;3;2;3.0;En buen estado;279000.0;246055.29;2777.76;12275.0;32050.0
Piso;72.0;2;1;2.0;Reformado;198000.0;296686.5;3182.53;13719.0;33790.0
Piso;98.0;4;2;5.0;En buen estado;219000.0;221354.76;2379.6;13993.0;36837.0
Piso;59.0;2;1;5.0;En buen estado;152500.0;404569.14;4016.05;16890.0;41311.0
Piso;116.0;2;2;2.0;Reformado;1300000.0;1474913.24;9115.3;25956.0;60217.0
Ático;154.0;4;3;1.0;En buen estado;745000.0;1235417.65;4893.34;20671.0;55125.0
Casa;230.0;4;3;0.0;En buen estado;260000.0;300565.0;1189.39;11415.0;29352.0
Piso;58.0;2;1;0.0;Reformado;155000.0;307364.24;2577.14;14205.0;36962.0
Casa pareada;299.0;5;4;0.0;Reformado;420000.0;359500.0;951.51;11097.0;32321.0
Piso;75.0;2;2;1.0;A estrenar;245000.0;308670.68;3123.67;13849.0;37141.0
Dúplex;88.0;2;2;1.0;En buen estado;195000.0;390211.11;2125.15;14224.0;43589.0
Piso;121.0;3;2;1.0;En buen estado;183000.0;290766.43;2029.47;12566.0;34529.0
Piso;94.0;2;2;0.0;A estrenar;169400.0;210890.64;2134.95;10929.0;32680.0
Piso;141.0;4;2;1.0;En buen estado;375000.0;820074.21;6639.78;19199.0;38360.0
Casa adosada;262.0;4;3;0.0;A estrenar;407000.0;260408.74;2079.61;13327.0;39791.0
Piso;125.0;4;2;3.0;A reformar;590000.0;1533912.0;8661.73;23925.0;57448.0
Piso;52.0;2;1;1.0;En buen estado;204900.0;1235417.65;4893.34;20671.0;55125.0
Piso;73.0;2;2;1.0;A estrenar;155662.0;260408.74;2079.61;13327.0;39791.0
Piso;155.0;3;2;10.0;A estrenar;564000.0;562942.11;3460.16;20477.0;59299.0
Piso;164.0;4;2;1.0;En buen estado;595000.0;468570.0;5082.27;20103.0;46699.0
Piso;52.0;2;1;3.0;En buen estado;209900.0;1235417.65;4893.34;20671.0;55125.0
Ático;118.0;3;2;3.0;En buen estado;158000.0;142381.82;1229.03;11421.0;32837.0
Piso;65.0;2;1;5.0;En buen estado;184000.0;307364.24;2577.14;14205.0;36962.0
Piso;82.0;2;2;4.0;A estrenar;271900.0;320904.52;2307.83;12745.0;36317.0
Piso;148.0;3;2;0.0;En buen estado;590000.0;477500.0;3551.23;19482.0;51400.0
Piso;80.0;2;1;1.0;En buen estado;155000.0;200100.0;1365.25;12685.0;34277.0
Casa adosada;278.0;3;4;0.0;En buen estado;526000.0;525900.0;2577.72;17359.0;54713.0
Casa adosada;139.0;3;2;0.0;A estrenar;460000.0;290766.43;2029.47;12566.0;34529.0
Ático;198.0;4;2;8.0;A estrenar;664900.0;366900.0;3215.7;13605.0;35278.0
Piso;166.0;4;4;1.0;Reformado;1099000.0;820074.21;6639.78;19199.0;38360.0
Piso;75.0;3;2;1.0;A estrenar;214000.0;258967.62;1906.18;12592.0;38093.0
Ático;198.0;4;3;1.0;A estrenar;615500.0;507866.67;2564.12;15757.0;46101.0
Piso;87.0;3;1;1.0;En buen estado;165000.0;204509.83;2052.7;11788.0;34016.0
Piso;185.0;2;3;1.0;A estrenar;998500.0;1474913.24;9115.3;25956.0;60217.0
Casa adosada;280.0;4;4;0.0;En buen estado;358000.0;344560.0;1541.07;13235.0;41049.0
Piso;77.0;2;2;0.0;A estrenar;161931.0;260408.74;2079.61;13327.0;39791.0
Casa adosada;190.0;4;3;0.0;En buen estado;354900.0;290766.43;2029.47;12566.0;34529.0
Piso;89.0;2;1;4.0;En buen estado;310000.0;404569.14;4016.05;16890.0;41311.0
Piso;52.0;1;2;1.0;Reformado;285000.0;468570.0;5082.27;20103.0;46699.0
Piso;113.0;4;2;4.0;En buen estado;520000.0;404569.14;4016.05;16890.0;41311.0
Piso;100.0;3;1;1.0;En buen estado;214000.0;306328.57;2115.77;13080.0;36502.0
Piso;90.0;4;1;1.0;A reformar;270000.0;404569.14;4016.05;16890.0;41311.0
Ático;130.0;3;2;3.0;En buen estado;535000.0;477500.0;3551.23;19482.0;51400.0
Ático;220.0;3;3;1.0;Reformado;325000.0;320904.52;2307.83;12745.0;36317.0
Ático;63.0;2;1;1.0;A estrenar;609000.0;468570.0;5082.27;20103.0;46699.0
Piso;105.0;3;1;1.0;En buen estado;410000.0;1471095.24;6128.53;28233.0;69670.0
Casa;600.0;7;4;0.0;En buen estado;299000.0;359500.0;951.51;11097.0;32321.0
Piso;120.0;3;2;6.0;En buen estado;375000.0;296686.5;3182.53;13719.0;33790.0
Casa pareada;173.0;4;3;0.0;A estrenar;462250.0;347533.53;2035.92;16160.0;47715.0
Casa adosada;174.0;4;3;0.0;En buen estado;700000.0;477500.0;3551.23;19482.0;51400.0
